"created_at",content,interactions,source
"Apr 3, 2024 @ 16:48:04.000","Dice el 🤡 @STaboadaMx que no hay agua en las albercas de #Iztapalapa, pues aquí la evidencia de que miente con todos los dientes 😬. Éste es el Deportivo Salvador Allende, justo en su cumpleaños No. 13 que, por cierto, fue una obra de @ClaraBrugadaM .

#LaTransformacionEsClara https://t.co/m7WoZV1xAf",5,"https://twitter.com/ESMEBOMBON/status/1775656543125471292"
"Apr 3, 2024 @ 15:09:11.000","@olafdickinson @BicireporteraDF En qué sentido Clara es peor opción? O por qué Taboada es menos peor? Ya viste las propuestas y resultados de ambos? Para darte un ejemplo, Iztapalapa fue evaluada como la administración más transparente, hay espacios rescatados y apropiados, hay agenda de perspectiva d género",5,"https://twitter.com/EriMarMacedo/status/1775631657195975078"
"Apr 3, 2024 @ 12:24:17.000","@STaboadaMx Porque las patrullas de la alcaldía de Benito Juárez amedrentan a abogado por cartel inmobiliario?? https://t.co/FWQP5nRzDL",5,"https://twitter.com/RamsesMendezDa/status/1775590160022766025"
"Apr 3, 2024 @ 11:30:15.000","@MontseQuintan19 @DennycheGamon @SacmexCDMX @SOBSECDMX @SGIRPC_CDMX @SEDEMA_CDMX @ColDelValleBJ @En_laDelValle @NarvarteVecinos @ddmexico_bj @BJAlcaldia @STaboadaMx @adn40 @azucenau @El_Universal_Mx @AztecaNoticias Hola desde hace un par de días el agua de uso de las llaves despide un olor a combustible, se siente inseguridad de seguir usándola. Mi filtro de agua luce así: amarillo y con ese aroma https://t.co/vyU5ZN9wH5",5,"https://twitter.com/juankyheros/status/1775576560218542288"
"Apr 3, 2024 @ 09:46:07.000","¿Qué travesura habrá hecho el gobierno de la @BJAlcaldia para que el agua venga cargada de gasolina o diesel? ¿Taboada ya también se dedica al huachicol? Y vendrán cosas peores con el #cartelinmobiliario",5,"https://twitter.com/VecinosAlcBJ/status/1775550353984946353"
"Apr 3, 2024 @ 06:52:54.000","La opinión de @martinespinosa ✍️ @Excelsior 

° @STaboadaMx , visitó terrenos en los que se creía que solamente «mandaba» #Morena, como lo fue #Iztapalapa

@Nakachi_Mx @jvgilescas @jachavez77 @Venus_PonC @El_Campos 

https://t.co/a3fQ1XCwFq a través de @EvidenciaLa https://t.co/hP3S5WdtzV",5,"https://twitter.com/EvidenciaLa/status/1775506765590806586"
"Apr 3, 2024 @ 20:57:45.000","@polistermx @STaboadaMx @Chertorivski Lo que necesita la brazos de tamalera y vestido que casi se truena Brugada, para ganar una elección 👇🏼👇🏼🤣🤣🤣🤣 https://t.co/bcEPuYuN5d",4,"https://twitter.com/RafaelM14798962/status/1775719378165903369"
"Apr 3, 2024 @ 15:16:37.000","Acompañamos al candidato de la alianza #FuerzaYCorazónPorMéxico para #Iztacalco, @Ordonez_Mx en su recorrido por @InfonavitUnidad para dar a conocer su fórmula con @STaboadaMx para Jefe de Gobierno y @XochitlGalvez para la presidencia porque #ElCambioViene y @VaPorTodosMx. https://t.co/s6SwaajWIu",4,"https://twitter.com/efectocolmenamx/status/1775633528484446210"
"Apr 3, 2024 @ 13:52:54.000","@SacmexCDMX @CarmenHelguera @BJAlcaldia @lopezdoriga @CiroGomezL @CarlosLoret @AristeguiOnline @GobCDMX @conagua_mx @SEMARNAT_mx @ClaraBrugadaM @STaboadaMx Claramente el simple olor es desagradable - el agua debe ser inodora, incolora e insabora y a simple vista vemos que el agua 
- huele y
- tiene un color amarillento",4,"https://twitter.com/marcavalli/status/1775612459946029141"
"Apr 3, 2024 @ 12:21:38.000","@SimonPedro2024 Curioso que los reportes de agua con olor a diésel solo sean en la Benito Juárez de @STaboadaMx. Suena a ganas de chingar.",4,"https://twitter.com/YayaMarchena/status/1775589492197392714"
